S.N.,Open,High,Low,Close,Change,Per Change (%),Turnover,Date
1,"2,733.37","2,748.78","2,689.46","2,697.91",-47.44,-1.72,"8,180,262,572.11",2024-10-20
21,"1,894.53","1,906.77","1,872.04","1,876.60",-17.93,-0.94,"1,236,642,242.76",2023-11-29
22,"1,896.40","1,902.17","1,885.33","1,894.53",-2.17,-0.11,"1,280,228,971.85",2023-11-28
23,"1,909.97","1,926.12","1,889.78","1,896.67",-11.27,-0.59,"1,754,750,755.81",2023-11-27
24,"1,859.24","1,907.95","1,852.69","1,907.95",47.75,2.56,"2,011,763,358.52",2023-11-26
25,"1,847.69","1,863.93","1,826.68","1,860.20",9.87,0.53,"1,348,347,430.30",2023-11-23
26,"1,830.11","1,850.33","1,816.68","1,850.33",20.67,1.13,"1,087,098,495.58",2023-11-22
27,"1,853.17","1,853.40","1,821.48","1,829.65",-23.82,-1.28,"950,479,583.91",2023-11-21
28,"1,852.28","1,872.64","1,846.53","1,853.48",1.39,0.07,"1,099,318,029.69",2023-11-20
29,"1,864.40","1,866.16","1,848.17","1,852.08",-11.85,-0.63,"836,005,656.08",2023-11-09
30,"1,858.10","1,868.92","1,851.21","1,863.94",5.17,0.27,"782,743,264.94",2023-11-08
31,"1,848.06","1,864.83","1,847.41","1,858.76",11.22,0.60,"996,586,291.90",2023-11-07
32,"1,826.67","1,850.41","1,824.56","1,847.54",21.30,1.16,"938,929,040.59",2023-11-06
33,"1,846.75","1,846.75","1,817.94","1,826.23",-21.46,-1.16,"972,367,278.92",2023-11-05
34,"1,858.26","1,859.47","1,842.85","1,847.70",-10.86,-0.58,"964,477,711.41",2023-11-02
35,"1,864.18","1,872.16","1,853.62","1,858.56",-5.83,-0.31,"812,089,291.30",2023-11-01
36,"1,878.28","1,878.60","1,860.47","1,864.40",-14.29,-0.76,"571,483,276.48",2023-10-31
37,"1,876.47","1,878.70","1,857.11","1,878.70",3.04,0.16,"694,222,217.36",2023-10-30
38,"1,903.58","1,903.71","1,867.47","1,875.65",-28.18,-1.48,"742,925,392.56",2023-10-29
39,"1,908.66","1,915.90","1,893.98","1,903.84",-4.05,-0.21,"970,612,892.03",2023-10-19
40,"1,864.27","1,908.38","1,864.27","1,907.89",43.27,2.32,"934,894,218.15",2023-10-18
41,"1,851.17","1,884.61","1,851.17","1,864.62",13.18,0.71,"1,008,437,860.61",2023-10-17
42,"1,874.12","1,876.25","1,846.82","1,851.43",-23.16,-1.23,"1,253,291,070.96",2023-10-16
43,"1,895.27","1,897.21","1,870.26","1,874.60",-20.16,-1.06,"1,700,129,815.00",2023-10-12
44,"1,890.04","1,904.45","1,884.42","1,894.76",5.16,0.27,"1,088,547,980.13",2023-10-11
45,"1,908.28","1,912.44","1,885.44","1,889.59",-19.06,-0.99,"1,283,182,145.31",2023-10-10
46,"1,919.96","1,926.64","1,902.90","1,908.66",-12.58,-0.65,"1,170,172,722.08",2023-10-09
47,"1,963.80","1,963.80","1,917.87","1,921.24",-35.67,-1.82,"1,801,766,294.08",2023-10-08
48,"1,967.57","1,969.00","1,954.39","1,956.92",-11.04,-0.56,"1,106,519,418.19",2023-10-05
49,"1,958.86","1,976.05","1,957.28","1,967.97",9.24,0.47,"1,189,931,385.36",2023-10-04
50,"1,977.82","1,977.82","1,954.64","1,958.72",-17.56,-0.88,"1,199,101,324.81",2023-10-03
51,"1,970.27","1,982.49","1,954.53","1,976.29",5.19,0.26,"1,737,314,092.32",2023-10-02
52,"2,004.57","2,004.58","1,964.61","1,971.10",-33.20,-1.65,"1,830,486,743.11",2023-10-01
53,"2,023.52","2,026.54","1,993.54","2,004.30",-18.60,-0.91,"1,814,359,022.20",2023-09-27
54,"2,006.63","2,030.46","2,006.24","2,022.91",18.45,0.92,"2,093,809,518.53",2023-09-26
55,"2,012.21","2,015.18","1,999.89","2,004.45",-5.89,-0.29,"1,565,573,471.78",2023-09-25
56,"2,029.42","2,036.76","2,004.26","2,010.35",-19.42,-0.95,"2,326,895,206.98",2023-09-24
57,"1,988.70","2,040.03","1,988.70","2,029.78",44.34,2.23,"3,293,921,368.31",2023-09-21
58,"1,970.41","1,985.74","1,960.94","1,985.43",16.24,0.82,"1,176,680,757.49",2023-09-19
59,"1,965.44","1,974.60","1,953.15","1,969.18",4.26,0.21,"870,444,156.81",2023-09-18
60,"2,009.98","2,010.02","1,961.67","1,964.91",-42.14,-2.09,"2,028,465,610.94",2023-09-17
61,"1,967.26","2,007.06","1,967.26","2,007.06",39.48,2.00,"1,495,521,905.76",2023-09-13
62,"1,987.16","1,998.17","1,962.97","1,967.57",-19.42,-0.97,"1,135,057,515.51",2023-09-12
63,"1,942.98","1,986.99","1,942.25","1,986.99",44.30,2.28,"1,518,343,397.24",2023-09-11
64,"1,933.25","1,946.60","1,933.12","1,942.68",10.23,0.52,"1,072,212,418.60",2023-09-10
65,"1,960.72","1,960.72","1,930.52","1,932.45",-28.92,-1.47,"1,150,920,607.59",2023-09-07
66,"1,966.80","1,973.70","1,954.37","1,961.37",-6.45,-0.32,"796,870,408.04",2023-09-05
67,"1,960.78","1,977.43","1,946.71","1,967.83",7.04,0.35,"1,099,139,697.15",2023-09-04
68,"1,990.81","1,991.04","1,959.14","1,960.78",-29.81,-1.49,"1,186,618,410.86",2023-09-03
69,"1,994.63","2,001.43","1,985.47","1,990.59",-2.82,-0.14,"1,130,008,041.15",2023-08-30
